C,Si,Mn,P,S,Ni,Cr,Mo,Cu,V,Al,N,0.2% Proof Stress,Tensile Strength
0.12,0.36,0.52,0.009,0.003,0.089,0.97,0.61,0.04,0,0.003,0.0066,342,490
0.09,0.37,0.49,0.006,0.005,0.055,0.98,0.57,0.07,0,0.005,0.008,310,463
0.12,0.28,0.44,0.018,0.008,0.03,0.99,0.54,0.08,0,0.007,0.01,339,493
0.12,0.37,0.45,0.018,0.008,0.035,1,0.5,0.06,0,0.009,0.0088,251,456
0.12,0.36,0.45,0.018,0.007,0.028,1,0.53,0.05,0,0.007,0.008,239,453
0.15,0.22,0.43,0.011,0.022,0.01,0.02,0.5,0.03,0,0.004,0.004,280,430
0.14,0.22,0.46,0.012,0.012,0.01,0.03,0.5,0.03,0,0.006,0.006,280,440
0.15,0.25,0.58,0.008,0.01,0.05,0.11,0.52,0.04,0,0.007,0.011,290,450
0.28,0.18,0.75,0.012,0.009,0.32,1,1.25,0.14,0.27,0.002,0.009,665,810
0.29,0.2,0.75,0.01,0.009,0.34,1,1.25,0.14,0.26,0.002,0.0075,690,830
0.3,0.28,0.72,0.014,0.006,0.35,0.93,1.22,0.16,0.21,0.002,0.0093,645,810
0.3,0.26,0.79,0.016,0.015,0.32,1.03,1.13,0.19,0.23,0.002,0.0085,620,790
0.29,0.26,0.76,0.009,0.007,0.45,1.12,1.18,0.07,0.23,0.003,0.0103,685,830
0.29,0.26,0.77,0.009,0.007,0.46,1.12,1.2,0.08,0.23,0.004,0.0095,660,820
0.29,0.21,0.66,0.01,0.008,0.51,1.07,1.29,0.06,0.23,0.005,0.0097,640,800
0.3,0.27,0.7,0.012,0.012,0.44,1.1,1.35,0.11,0.27,0.003,0.0082,655,810
0.18,0.26,1.33,0.015,0.008,0.55,0.11,0.49,0.11,0,0.028,0.006,425,580
0.17,0.23,1.34,0.014,0.009,0.57,0.16,0.49,0.11,0,0.038,0.007,455,590
0.17,0.33,1.37,0.016,0.014,0.6,0.08,0.53,0.24,0,0.008,0.0071,440,590
0.17,0.35,1.44,0.015,0.01,0.58,0.08,0.5,0.23,0,0.006,0.0079,420,580
0.19,0.33,1.41,0.014,0.006,0.58,0.1,0.53,0.25,0,0.008,0.0077,435,590
0.12,0.25,0.48,0.008,0.012,0.04,0.64,0.51,0.04,0,0.006,0.013,270,480
0.16,0.24,0.49,0.012,0.007,0.035,0.61,0.51,0.04,0,0.006,0.0086,275,450
0.12,0.25,0.43,0.006,0.011,0.03,0.59,0.51,0.03,0,0.006,0.015,325,460
0.12,0.25,0.44,0.013,0.012,0.05,0.71,0.52,0.06,0,0.004,0.0058,255,470
0.12,0.24,0.47,0.008,0.011,0.04,0.71,0.49,0.06,0,0.006,0.013,275,480
0.15,0.26,0.45,0.012,0.006,0.033,0.58,0.49,0.04,0,0.006,0.0084,260,450
0.23,0.23,1.23,0.027,0.012,0.03,0.04,0.017,0.01,0.009,0.003,0.0111,359,578
0.2,0.31,0.5,0.022,0.017,0,0.017,0.006,0.09,0,0.004,0.0037,270,460
0.15,0.25,0.45,0.013,0.008,0.032,0.6,0.48,0.04,0,0.006,0.0082,265,450
0.17,0.39,0.6,0.022,0.02,0.11,1.31,1.02,0.11,0.28,0.004,0.0078,575,720
0.16,0.47,0.62,0.01,0.01,0.19,1.01,0.92,0.15,0.24,0.003,0.0111,535,690
0.14,0.34,0.73,0.01,0.009,0.13,1.06,0.96,0.08,0.23,0.003,0.0102,570,710
0.18,0.37,0.66,0.018,0.017,0.1,1.07,1.03,0.12,0.3,0.02,0.0081,545,690
0.16,0.47,0.62,0.01,0.01,0.19,1,0.92,0.15,0.24,0.002,0.0104,515,680
0.18,0.37,0.61,0.019,0.018,0.11,1.09,1.12,0.07,0.28,0.016,0.0064,650,790
0.14,0.38,1.24,0.014,0.014,0.43,0.03,0.084,0.05,0.043,0.04,0.0066,539,648
0.14,0.33,1.45,0.025,0.012,0.18,0.03,0.01,0.02,0.06,0.05,0.0051,513,660
0.15,0.52,0.78,0.01,0.009,0.12,1.17,0.98,0.08,0.23,0.003,0.0106,555,680
0.15,0.3,1.14,0.009,0.021,0.31,0.2,0.08,0.14,0,0.028,0.0082,468,592
0.15,0.28,1.32,0.019,0.005,0.077,0.053,0.008,0.08,0.07,0.017,0.0066,483,625
0.16,0.28,1.14,0.017,0.016,0.33,0.24,0.08,0.13,0,0.015,0.0067,590,692
0.16,0.48,1.21,0.017,0.009,0.02,0.02,0.1,0.02,0.05,0.04,0.0028,574,698
0.13,0.33,1.23,0.014,0.015,0.44,0.04,0.076,0.04,0.04,0.032,0.0074,515,629
0.14,0.3,1.09,0.008,0.015,0.39,0.12,0.09,0.17,0,0.032,0.0098,451,578
0.14,0.21,1.29,0.016,0.008,0.21,0.02,0.06,0.09,0.03,0.021,0.0065,476,604
0.148,0.49,1.27,0.03,0.005,0.04,0.19,0.02,0.03,0.07,0.036,0.0065,514,612
0.15,0.25,1.38,0.014,0.006,0.04,0.041,0.006,0.08,0.088,0.015,0.0076,483,618
0.143,0.5,1.2,0.03,0.007,0.06,0.17,0.02,0.02,0.07,0.029,0.0068,488,601
0.17,0.49,1.26,0.013,0.01,0.01,0.02,0.09,0.02,0.04,0.045,0.0025,537,672
0.13,0.42,1.28,0.014,0.012,0.21,0.22,0.05,0.04,0.03,0.037,0.0072,476,603
0.16,0.41,1.48,0.014,0.01,0.02,0.02,0.01,0.03,0.08,0.033,0.0079,577,693
0.12,0.37,1.32,0.012,0.012,0.22,0.03,0.07,0.07,0.04,0.03,0.0064,455,571
0.16,0.29,1.42,0.013,0.006,0.041,0.054,0.011,0.08,0.079,0.006,0.0048,501,630
0.13,0.34,1.23,0.012,0.016,0.46,0.03,0.072,0.02,0.042,0.035,0.0065,533,636
0.14,0.22,0.45,0.013,0.013,0.06,0.68,0.52,0.06,0,0.004,0.0062,250,470
0.15,0.21,0.42,0.015,0.011,0.06,0.66,0.52,0.07,0,0.004,0.0056,255,460
0.17,0.52,1.27,0.017,0.015,0.02,0.02,0.1,0.02,0.05,0.049,0.0026,623,736
0.12,0.33,1.37,0.016,0.012,0.19,0.03,0.01,0.03,0.08,0.042,0.007,666,676
0.1,0.28,0.49,0.008,0.009,0.028,0.9,0.56,0.08,0,0.006,0.009,306,463
0.24,0.24,0.64,0.015,0.013,0,0.074,0.019,0.05,0,0.011,0.006,300,480
0.28,0.19,0.8,0.01,0.012,0,0.06,0.22,0.04,0,0.016,0.0073,275,490
0.29,0.2,0.93,0.014,0.015,0.03,0.03,0.36,0.06,0,0.018,0.0045,310,530
0.13,0.23,0.66,0.01,0.01,0.08,0.06,0.51,0.13,0,0.004,0.0057,300,440
0.1,0.35,0.44,0.02,0.007,0.05,1.01,0.51,0.08,0,0.012,0.0082,241,431
0.09,0.32,0.48,0.02,0.017,0.023,1.05,0.52,0.04,0,0.009,0.0089,313,464
0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0,0.009,0.0076,291,462
0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0,0.009,0.0089,312,452
0.2,0.31,0.59,0.018,0.009,0,0.046,0.011,0.05,0,0.006,0.0056,280,480
0.2,0.28,0.6,0.018,0.008,0,0.045,0.01,0.05,0,0.005,0.0066,290,470
0.2,0.29,0.55,0.021,0.009,0,0.054,0.012,0.05,0,0.004,0.0058,285,470
0.21,0.21,0.62,0.014,0.014,0,0.046,0.019,0.05,0,0.008,0.003,315,500
0.11,0.3,0.48,0.012,0.01,0,0,0.51,0,0,0.005,0.0078,265,450
0.12,0.25,0.5,0.012,0.01,0,0,0.5,0,0,0.005,0.0068,270,460
0.13,0.31,0.48,0.006,0.007,0,0,0.49,0,0,0.005,0.006,260,450
0.14,0.4,0.67,0.007,0.004,0,0,0.6,0.03,0,0.004,0.007,395,520
0.22,0.22,0.82,0.015,0.006,0.05,0.06,0.18,0.08,0,0.005,0.0082,295,470
0.28,0.3,0.7,0.022,0.011,0.14,0.07,0.02,0.22,0,0.004,0.0097,300,520
0.2,0.22,0.68,0.024,0.009,0.15,0.11,0.03,0.23,0,0.01,0.0077,275,490
